threshold,net_profit_M,approval_rate,TP,FP,FN,TN,revenue_M,opp_cost_M,loan_loss_M,opex_M
0.01,-1912.6552735523223,0.07935000699161981,24648,258462,177,24224,507.87820359048203,2322.381869039026,68.91794126614097,29.23366683763765
0.0198989898989899,-1105.9637324766452,0.19695230414521758,24092,222854,733,59832,1254.432326503704,2002.4301020762161,285.4059375597815,72.56001934435163
0.029797979797979796,-155.64013329553475,0.36361626088172455,22844,172851,1981,109835,2302.790723718651,1553.1336461269534,771.3358285210468,133.96138236618546
0.039696969696969696,205.58692115099663,0.4448751426778229,21992,148715,2833,133971,2808.8239272300398,1336.2622731935012,1103.0764271580642,163.8983057274776
0.049595959595959596,355.1565249655135,0.4948928656210672,21294,134032,3531,148654,3116.6663836087982,1204.329791888319,1374.8545232245413,182.3255435304244
0.059494949494949496,573.2594953543609,0.6098546068270728,19390,100584,5435,182102,3817.9341409442686,903.7864673159744,2116.2091004603176,224.67907781361635
0.06939393939393938,575.3033720653567,0.6239809307634524,19097,96533,5728,186153,3902.867042312542,867.3866524438573,2230.2936021042688,229.88341569905947
0.07929292929292929,554.5626958515469,0.6673517370110338,18133,84160,6692,198526,4162.278246615095,756.2104220284776,2605.643293519861,245.86183521520937
0.08919191919191918,426.1458981386374,0.7234895662268992,16643,68387,8182,214299,4492.973544882626,614.4838656281073,3185.799974234833,266.5438068810484
0.09909090909090908,425.309657843048,0.7237269561088872,16636,68321,8189,214365,4494.357294941946,613.8908298883987,3188.525542533494,266.63126467700545
0.10898989898989898,303.2473279350161,0.7532673627935261,15722,60151,9103,222535,4665.6487795577905,540.4801936244648,3544.406888958651,277.5143690396586
0.11888888888888888,24.83921210379809,0.799555137864987,14082,47557,10743,235129,4929.693449968068,427.3181920200608,4182.968604644929,294.56744119928055
0.12878787878787878,19.15565341858977,0.8004299033205317,14050,47320,10775,235366,4934.662370635627,425.18865459110697,4195.428345438808,294.8897171871222
0.1386868686868687,-299.34407452093325,0.8383895210252641,12490,37207,12335,245479,5146.690618361457,334.31940556575057,4802.84070914039,308.87457817625153
0.1485858585858586,-312.33575040255073,0.8396707760047608,12432,36871,12393,245815,5153.735164117998,331.30031452723387,4825.423989329294,309.34661066401964
0.15848484848484848,-506.1542067633288,0.8577286666168039,11589,32161,13236,250525,5252.484600169481,288.979127648026,5153.6602858680335,315.99939341675116
0.16838383838383839,-566.4952937656832,0.8629024652776649,11336,30823,13489,251863,5280.536987735701,276.9566758339326,5252.1701115196365,317.9054941478147
0.1782828282828283,-743.3421455027998,0.8756239614192664,10646,27601,14179,255085,5348.089149722511,248.00574926815605,5520.833272387643,322.5922735695121
0.18818181818181817,-889.2217491591297,0.8855878326303774,10088,25095,14737,257591,5400.6297201566995,225.48836193921872,5738.100002480902,326.26310489570864
0.19808080808080808,-1134.2042142067717,0.9012262975958584,9174,21200,15651,261486,5482.291939566578,190.4902679064131,6093.981348906058,332.0245369608781
0.207979797979798,-1341.455229584948,0.9133071662477115,8425,18234,16400,264452,5544.476828596028,163.83960117950645,6385.617156862779,336.4753001386914
0.21787878787878787,-1608.5776955817137,0.9275798264127136,7487,14783,17338,267903,5616.830183970481,132.8310203047408,6750.843308883345,341.733550364108
0.22777777777777777,-1719.2058172073625,0.9329942668717541,7109,13496,17716,269190,5643.813310127224,121.26682338042224,6898.023997011036,343.7283069431281
0.23767676767676768,-1753.8486888223422,0.934672255626628,6991,13098,17834,269588,5652.157742303126,117.69063816217918,6943.969291188464,344.3465017748244
0.24757575757575756,-1760.2103449392164,0.9349486685029154,6970,13034,17855,269652,5653.499560542466,117.11557320246172,6952.145996084446,344.44833619477436
0.25747474747474747,-1809.9103340828008,0.9370103833683998,6808,12562,18017,270124,5663.395470057603,112.87446912454536,7015.223433853457,345.20790116240113
0.2673737373737374,-2167.301226027214,0.9512700358686356,5655,9330,19170,273356,5731.157291144313,83.83368865881293,7464.163469332894,350.46135917982014
0.2772727272727273,-2167.301226027214,0.9512700358686356,5655,9330,19170,273356,5731.157291144313,83.83368865881293,7464.163469332894,350.46135917982014
0.2871717171717172,-2311.2974919404696,0.9566096822552689,5199,8144,19626,274542,5756.022860392097,73.1770161240485,7641.714775645664,352.4285605628537
0.29707070707070704,-2558.429262275057,0.9653183138164163,4426,6239,20399,276447,5795.962918922473,56.05984818245808,7942.695389197795,355.63694381727737
0.30696969696969695,-2558.429262275057,0.9653183138164163,4426,6239,20399,276447,5795.962918922473,56.05984818245808,7942.695389197795,355.63694381727737
0.31686868686868686,-2558.429262275057,0.9653183138164163,4426,6239,20399,276447,5795.962918922473,56.05984818245808,7942.695389197795,355.63694381727737
0.32676767676767676,-2620.6297259804983,0.9672467001180446,4237,5835,20588,276851,5804.433146558313,52.42975062424153,8016.28573326164,356.34738865292843
0.33666666666666667,-2786.0615382672204,0.972153841651193,3739,4824,21086,277862,5825.629681557899,43.34552133870457,8210.190449366375,358.15524912004014
0.3465656565656566,-2871.710275705143,0.9745602596329888,3484,4339,21341,278347,5835.798147902902,38.98760719084559,8309.479008817596,359.0418075996046
0.3564646464646465,-2871.710275705143,0.9745602596329888,3484,4339,21341,278347,5835.798147902902,38.98760719084559,8309.479008817596,359.0418075996046
0.36636363636363634,-3124.940130716732,0.9812039244124601,2740,3040,22085,279646,5863.032864979523,27.315585586579992,8599.167982275272,361.4894278344021
0.37626262626262624,-3212.2158227698537,0.983473761914208,2484,2598,22341,280088,5872.29979719497,23.34404320853119,8698.845908626301,362.3256681299913
0.38616161616161615,-3212.2158227698537,0.983473761914208,2484,2598,22341,280088,5872.29979719497,23.34404320853119,8698.845908626301,362.3256681299913
0.39606060606060606,-3363.179959111687,0.9870768850545184,2048,1926,22777,280760,5886.3888887080475,17.305861131497718,8868.609876942897,363.6531097453392
0.40595959595959596,-3363.179959111687,0.9870768850545184,2048,1926,22777,280760,5886.3888887080475,17.305861131497718,8868.609876942897,363.6531097453392
0.41585858585858587,-3363.179959111687,0.9870768850545184,2048,1926,22777,280760,5886.3888887080475,17.305861131497718,8868.609876942897,363.6531097453392
0.4257575757575757,-3363.179959111687,0.9870768850545184,2048,1926,22777,280760,5886.3888887080475,17.305861131497718,8868.609876942897,363.6531097453392
0.43565656565656563,-3363.179959111687,0.9870768850545184,2048,1926,22777,280760,5886.3888887080475,17.305861131497718,8868.609876942897,363.6531097453392
0.44555555555555554,-3369.1869918367347,0.9872037097859914,2031,1904,22794,280782,5886.850138727821,17.10818255159484,8875.229114239644,363.69983377331613
0.45545454545454545,-3441.978235216973,0.9886930874017514,1826,1651,22999,281035,5892.1545139552145,14.8348788827117,8955.04932870043,364.2485415890465
0.46535353535353535,-3553.4258244102193,0.9908848789149006,1514,1289,23311,281397,5899.744173371487,11.582167704309741,9076.531801440746,365.0560286366499
0.47525252525252526,-3604.561079849098,0.9918832171857267,1371,1125,23454,281561,5903.182582609797,10.108563745033715,9132.211268113391,365.4238306004691
0.4851515151515151,-3604.561079849098,0.9918832171857267,1371,1125,23454,281561,5903.182582609797,10.108563745033715,9132.211268113391,365.4238306004691
0.495050505050505,-3732.1248645384258,0.9942441083408399,1017,753,23808,281933,5910.981901125965,6.765998666675899,9270.047150645674,366.2936163520418
0.5049494949494949,-3732.1248645384258,0.9942441083408399,1017,753,23808,281933,5910.981901125965,6.765998666675899,9270.047150645674,366.2936163520418
0.5148484848484849,-3834.8626156959494,0.9960456699109951,734,482,24091,282204,5916.6636627331745,4.330957977872223,9380.237983291536,366.9573371597158
0.5247474747474747,-3843.241791379833,0.9961887542234261,711,461,24114,282225,5917.103946842958,4.142264787964926,9389.193421987136,367.0100514476898
0.5346464646464646,-3843.241791379833,0.9961887542234261,711,461,24114,282225,5917.103946842958,4.142264787964926,9389.193421987136,367.0100514476898
0.5445454545454546,-3843.241791379833,0.9961887542234261,711,461,24114,282225,5917.103946842958,4.142264787964926,9389.193421987136,367.0100514476898
0.5544444444444444,-3955.0320234449123,0.9980098272907311,406,206,24419,282480,5922.450253890332,1.850990339090618,9507.950326428792,367.6809605673602
0.5643434343434344,-3955.0320234449123,0.9980098272907311,406,206,24419,282480,5922.450253890332,1.850990339090618,9507.950326428792,367.6809605673602
0.5742424242424242,-3955.0320234449123,0.9980098272907311,406,206,24419,282480,5922.450253890332,1.850990339090618,9507.950326428792,367.6809605673602
0.5841414141414141,-3955.0320234449123,0.9980098272907311,406,206,24419,282480,5922.450253890332,1.850990339090618,9507.950326428792,367.6809605673602
0.594040404040404,-3955.0320234449123,0.9980098272907311,406,206,24419,282480,5922.450253890332,1.850990339090618,9507.950326428792,367.6809605673602
0.6039393939393939,-3955.0320234449123,0.9980098272907311,406,206,24419,282480,5922.450253890332,1.850990339090618,9507.950326428792,367.6809605673602
0.6138383838383838,-3955.0320234449123,0.9980098272907311,406,206,24419,282480,5922.450253890332,1.850990339090618,9507.950326428792,367.6809605673602
0.6237373737373737,-3955.0320234449123,0.9980098272907311,406,206,24419,282480,5922.450253890332,1.850990339090618,9507.950326428792,367.6809605673602
